key:string,reviewers
journals/lncs/Smolka94,Vijay A. Saraswat
journals/lncs/Smolka94,Thom W. Frühwirth
journals/lncs/Smolka94,Hubert Comon
journals/lncs/Erbach91,Otthein Herzog
journals/lncs/Erbach91,Petra Ludewig
journals/lncs/Erbach91,Jan Wilms
journals/lncs/VadapartyN93,Sushil Jajodia
journals/lncs/VadapartyN93,Bharat K. Bhargava
journals/lncs/VadapartyN93,Jean-Claude Franchitti
journals/lncs/Wendholt91,Stefan Benzschawel
journals/lncs/Wendholt91,Kai-Uwe Carstensen
journals/lncs/Wendholt91,Mechthild Rickheit
journals/lncs/BertinoJS93,Yelena Yesha
journals/lncs/BertinoJS93,Jean-Claude Franchitti
journals/lncs/BertinoJS93,Kumar V. Vadaparty
journals/lncs/Habel91,Stefan Benzschawel
journals/lncs/Habel91,Jan Wilms
journals/lncs/Habel91,Sven Lorenz
journals/lncs/SchillerS91,Andreas Arning
journals/lncs/SchillerS91,Rob A. van der Sandt
journals/lncs/SchillerS91,Mohammed Nadjib Khenkhar
journals/lncs/Tewari93,Phillip C.-Y. Sheu
journals/lncs/Tewari93,Oded Shmueli
journals/lncs/Tewari93,Elisa Bertino
journals/lncs/SheuP93,Martin Andersson
journals/lncs/SheuP93,Bharat K. Bhargava
journals/lncs/SheuP93,Ramesh Subramanian
journals/lncs/GadiaC93,H. V. Jagadish
journals/lncs/GadiaC93,Shirley Browne
journals/lncs/GadiaC93,Rakesh Chandra
journals/lncs/Khenkhar91,Dieter Fensel
journals/lncs/Khenkhar91,Peter C. Lockemann
journals/lncs/Khenkhar91,Bernd Walter
journals/lncs/YuCWT93,Stanley Y. W. Su
journals/lncs/YuCWT93,Martin Andersson
journals/lncs/YuCWT93,Larry J. Peterson
journals/lncs/Fruhwirth94,Vijay A. Saraswat
journals/lncs/Fruhwirth94,François Fages
journals/lncs/Fruhwirth94,Philippe Codognet
journals/lncs/Rickheit91,Petra Steffens
journals/lncs/Rickheit91,Barbara Gängler
journals/lncs/Rickheit91,Stefan Benzschawel
journals/lncs/KarabatisRS93,Prasun Dewan
journals/lncs/KarabatisRS93,Ophir Frieder
journals/lncs/KarabatisRS93,P. Bruce Berra
journals/lncs/BenzschawelGLLMW91,Gregor Erbach
journals/lncs/BenzschawelGLLMW91,Otthein Herzog
journals/lncs/BenzschawelGLLMW91,Ewald Lang
journals/lncs/Bosch91,Birgit Wendholt
journals/lncs/Bosch91,Sven Lorenz
journals/lncs/Bosch91,Andreas Arning
journals/jmlr/MwebazeQ10,Peter Spirtes
journals/jmlr/MwebazeQ10,Jan Lemeire
journals/jmlr/MwebazeQ10,Marek J. Druzdzel
journals/jmlr/YunV12,Olivier Collier
journals/jmlr/YunV12,Lauren Hannah
journals/jmlr/YunV12,Hei Chan
journals/jmlr/SharpnackSR12,Jie Liu 0006
journals/jmlr/SharpnackSR12,Christopher K. I. Williams
journals/jmlr/SharpnackSR12,Danny Bickson
journals/jmlr/ForbesDGBD10,Harri Valpola
journals/jmlr/ForbesDGBD10,Shipeng Yu
journals/jmlr/ForbesDGBD10,Jurgen Van Gael
journals/jmlr/CourvilleBB11,Slobodan Vucetic
journals/jmlr/CourvilleBB11,David J. C. MacKay
journals/jmlr/CourvilleBB11,Sam T. Roweis
journals/jmlr/SiddiqiGM07,Ronan Collobert
journals/jmlr/SiddiqiGM07,Kevin Robert Canini
journals/jmlr/SiddiqiGM07,Andreas Wendemuth
journals/jmlr/DalalyanC12,Fernando Pereira
journals/jmlr/DalalyanC12,Nevena Lazic
journals/jmlr/DalalyanC12,Yifei Chen
journals/jmlr/JainKT12,Peter D. Grünwald
journals/jmlr/JainKT12,Vitaly Feldman
journals/jmlr/JainKT12,Gábor Lugosi
journals/jmlr/YuKRR09,Nicolas Boulanger-Lewandowski
journals/jmlr/YuKRR09,Eyal Krupka
journals/jmlr/YuKRR09,Alekh Agarwal
journals/jmlr/TangM12,Peilin Zhao
journals/jmlr/TangM12,Hanna M. Wallach
journals/jmlr/TangM12,Dacheng Tao
journals/jmlr/ErikssonBN12,Liu Yang 0001
journals/jmlr/ErikssonBN12,Alexandru Niculescu-Mizil
journals/jmlr/ErikssonBN12,Michael Gutmann
journals/jmlr/BodoMC11,Slobodan Vucetic
journals/jmlr/BodoMC11,Klaus-Peter Zauner
journals/jmlr/BodoMC11,Subramani Mani
journals/jmlr/ChenXWCK12,Simo Särkkä
journals/jmlr/ChenXWCK12,Jeff M. Phillips
journals/jmlr/ChenXWCK12,Qirong Ho
journals/jmlr/AgakovOS12,Ioannis G. Tollis
journals/jmlr/AgakovOS12,Christian Daniel
journals/jmlr/AgakovOS12,Akimichi Takemura
journals/jmlr/ShamirT11,Daniil Ryabko
journals/jmlr/ShamirT11,Duy Nguyen-Tuong
journals/jmlr/ShamirT11,Wiley Greiner
journals/jmlr/Pena11,Samy Bengio
journals/jmlr/Pena11,Leo Zhu
journals/jmlr/Pena11,Dirk Husmeier
journals/jmlr/TrampusG10,Geoffrey Holmes 0001
journals/jmlr/TrampusG10,Peter Auer
journals/jmlr/TrampusG10,Blaz Fortuna
journals/jmlr/KoideSOKM11,Ying Wu 0001
journals/jmlr/KoideSOKM11,Geordie Rose
journals/jmlr/KoideSOKM11,Junsong Yuan
journals/jmlr/Garcia-SaizZ11,Ricard Gavaldà
journals/jmlr/Garcia-SaizZ11,Justin Lewis
journals/jmlr/Garcia-SaizZ11,Alan Johnston
journals/jmlr/TrapeznikovSC12,Tetsuya Takamori
journals/jmlr/TrapeznikovSC12,Prem Raj Adhikari
journals/jmlr/TrapeznikovSC12,Masamichi Shimosaka
journals/jmlr/SohnK12,Morten Mørup
journals/jmlr/SohnK12,Balaji Krishnapuram
journals/jmlr/SohnK12,Dor Kedem
journals/jmlr/JalaliRVS11,Nicholas G. Polson
journals/jmlr/JalaliRVS11,Victoria Kostina
journals/jmlr/JalaliRVS11,Dean P. Foster
journals/jmlr/Saeed10,Andreas Ziehe
journals/jmlr/Saeed10,Frederick Eberhardt
journals/jmlr/Saeed10,Karen Sachs
journals/jmlr/BaiWGCCM10,Radhendushka Srivastava
journals/jmlr/BaiWGCCM10,Ryan Rifkin
journals/jmlr/BaiWGCCM10,Makoto Yamada
journals/jmlr/MurrayAM10,Marcel Katz
journals/jmlr/MurrayAM10,Shijun Wang
journals/jmlr/MurrayAM10,Tyler Lu
journals/jmlr/McCannLMJ10,Garry P. Nolan
journals/jmlr/McCannLMJ10,Peter Spirtes
journals/jmlr/McCannLMJ10,A. Philip Dawid
journals/jmlr/KaufmannCG12,Olivier Collier
journals/jmlr/KaufmannCG12,Bo Thiesson
journals/jmlr/KaufmannCG12,Alessandro Verri
journals/jmlr/Wood11,Bernardino Romera-Paredes
journals/jmlr/Wood11,Christopher DuBois
journals/jmlr/Wood11,Antonino Freno
journals/jmlr/YamadaS11,Edwin V. Bonilla
journals/jmlr/YamadaS11,Andrea Vattani
journals/jmlr/YamadaS11,Murali Telaprolu
journals/jmlr/HannekeY10,Tony Jebara
journals/jmlr/HannekeY10,Nevena Lazic
journals/jmlr/HannekeY10,David Barber
journals/jmlr/LiZ11,Robert E. Schapire
journals/jmlr/LiZ11,Roni Khardon
journals/jmlr/LiZ11,Jaime G. Carbonell
journals/jmlr/DanceZ11,Shai Ben-David
journals/jmlr/DanceZ11,Vikas C. Raykar
journals/jmlr/DanceZ11,Ziyu Wang 0001
journals/jmlr/NallapatiMM11,Martin Pal
journals/jmlr/NallapatiMM11,Ivor W. Tsang
journals/jmlr/NallapatiMM11,Pierre Geurts
journals/jmlr/SoufianiA12,Steven J. Lee
journals/jmlr/SoufianiA12,Rina Dechter
journals/jmlr/SoufianiA12,Katherine A. Heller
journals/jmlr/WanZF12,Stéphane Ross
journals/jmlr/WanZF12,Thomas Lengauer
journals/jmlr/WanZF12,Andrew J. Connolly
journals/jmlr/WeissT10,Boaz Nadler
journals/jmlr/WeissT10,Suvrit Sra
journals/jmlr/WeissT10,Mikel Luján
journals/jmlr/Niculescu-MizilPSSLMWXHSSZ09,Zsolt Fekete
journals/jmlr/Niculescu-MizilPSSLMWXHSSZ09,Balázs Kégl
journals/jmlr/Niculescu-MizilPSSLMWXHSSZ09,Shang-Tse Chen
journals/jmlr/ChenTCCLTWCLLYCLWPSWKMCFNLLL12,Hung-Yi Lo
journals/jmlr/ChenTCCLTWCLLYCLWPSWKMCFNLLL12,Valery A. Petrushin
journals/jmlr/ChenTCCLTWCLLYCLWPSWKMCFNLLL12,Péter Csizsek
journals/jmlr/UsunierBB10,Marcel Katz
journals/jmlr/UsunierBB10,Kristian Kersting
journals/jmlr/UsunierBB10,Pavel Laskov
journals/jmlr/HazanK11b,Fabio Vitale
journals/jmlr/HazanK11b,Zhi-Hua Zhou
journals/jmlr/HazanK11b,Linda Sellie
journals/jmlr/KumarZT12,Qirong Ho
journals/jmlr/KumarZT12,Christopher C. Johnson
journals/jmlr/KumarZT12,Michael Johanson
journals/jmlr/MannorPS11,Nir Ailon
journals/jmlr/MannorPS11,Shai Shalev-Shwartz
journals/jmlr/MannorPS11,Rina Foygel
journals/jmlr/RakhlinST11,Tianbao Yang
journals/jmlr/RakhlinST11,Zhi-Hua Zhou
journals/jmlr/RakhlinST11,Cynthia Rudin
journals/jmlr/Garcia-GarciaW12,Rong Jin 0001
journals/jmlr/Garcia-GarciaW12,Ping Li 0001
journals/jmlr/Garcia-GarciaW12,Peter Grünwald
journals/jmlr/SaeysLIWP08,Marine Campedel
journals/jmlr/SaeysLIWP08,Sanasam Ranbir Singh
journals/jmlr/SaeysLIWP08,Huan Liu 0001
journals/jmlr/Elidan12a,Vince D. Calhoun
journals/jmlr/Elidan12a,Bernardino Romera-Paredes
journals/jmlr/Elidan12a,Zhuang Wang
journals/jmlr/WangYCW12,George Karypis
journals/jmlr/WangYCW12,Bernhard Pfahringer
journals/jmlr/WangYCW12,Zhiyong Liu 0001
journals/jmlr/SongGG10,Bhushan Mandhani
journals/jmlr/SongGG10,Lee H. Dicker
journals/jmlr/SongGG10,Nino Shervashidze
journals/jmlr/EatonM07,Felix V. Agakov
journals/jmlr/EatonM07,Kurt Miller
journals/jmlr/EatonM07,Alex Krizhevsky
journals/jmlr/MicletBJ12,Jie Fu
journals/jmlr/MicletBJ12,J. D. Emerald
journals/jmlr/MicletBJ12,Peter Cerno
journals/jmlr/NiuDJ11,Vladimir Pavlovic 0001
journals/jmlr/NiuDJ11,Pradeep Ravikumar
journals/jmlr/NiuDJ11,Naoki Abe
journals/jmlr/NevenDRM12,Yuhong Guo
journals/jmlr/NevenDRM12,Dmitry Kropotov
journals/jmlr/NevenDRM12,Mingmin Chi
journals/jmlr/SuzukiS12,Kai Mao
journals/jmlr/SuzukiS12,Ahmed K. Farahat
journals/jmlr/SuzukiS12,Avishek Saha
journals/jmlr/ZaanenN12,Ricard Gavaldà
journals/jmlr/ZaanenN12,Miriam Kunz
journals/jmlr/ZaanenN12,Herbert G. Tanner
journals/jmlr/KaratzoglouSW10,Alexander G. Gray
journals/jmlr/KaratzoglouSW10,Tommi S. Jaakkola
journals/jmlr/KaratzoglouSW10,David Buchman
journals/jmlr/Shawe-TaylorH09,Tim van Erven
journals/jmlr/Shawe-TaylorH09,Xing Xu
journals/jmlr/Shawe-TaylorH09,David B. Dunson
journals/jmlr/LacosteLM12,Suresh K. Bhavnani
journals/jmlr/LacosteLM12,Naftali Tishby
journals/jmlr/LacosteLM12,Sue Ann Hong
journals/jmlr/KrupkaT07,Xiaotong Yuan
journals/jmlr/KrupkaT07,Joris M. Mooij
journals/jmlr/KrupkaT07,Padhraic Smyth
journals/jmlr/KiralyBMBMM12,Sebastian Nowozin
journals/jmlr/KiralyBMBMM12,James M. Rehg
journals/jmlr/KiralyBMBMM12,Sivan Sabato
journals/jmlr/ChuG09,Xueyuan Zhou
journals/jmlr/ChuG09,Yuhong Yang
journals/jmlr/ChuG09,Guillaume Sicard
journals/jmlr/FysheFDM12,Aaron C. Courville
journals/jmlr/FysheFDM12,Stéphane Canu
journals/jmlr/FysheFDM12,Vicenç Gómez
journals/jmlr/CsekeH10,Alexandra Carpentier
journals/jmlr/CsekeH10,Robert B. Gramacy
journals/jmlr/CsekeH10,Daniel Stöckel
journals/jmlr/EntnerHS12,Minmin Chen
journals/jmlr/EntnerHS12,Nimalan Mahendran
journals/jmlr/EntnerHS12,Purushottam Kar
journals/jmlr/ZliobaiteBHP11,Sándor Szedmák
journals/jmlr/ZliobaiteBHP11,Steve R. Gunn
journals/jmlr/ZliobaiteBHP11,Saatviga Sudhahar
journals/jmlr/HallSJ11,Ilias N. Flaounas
journals/jmlr/HallSJ11,Joemon M. Jose
journals/jmlr/HallSJ11,José M. Carmona-Cejudo
journals/jmlr/Daume07,Shengbo Guo
journals/jmlr/Daume07,Changhe Yuan
journals/jmlr/Daume07,Carsten Ullrich
journals/jmlr/CarreauB07,Joris M. Mooij
journals/jmlr/CarreauB07,Vladimir Jojic
journals/jmlr/CarreauB07,Qiang Liu 0001
journals/jmlr/JaakkolaSGM10,Ansaf Salleb-Aouissi
journals/jmlr/JaakkolaSGM10,Jian Peng 0001
journals/jmlr/JaakkolaSGM10,David R. Hardoon
journals/jmlr/RanzatoBCL07,Karsten M. Borgwardt
journals/jmlr/RanzatoBCL07,Andrea Vattani
journals/jmlr/RanzatoBCL07,Eugene Weinstein
journals/jmlr/McDonaldSS11,Stéphane Canu
journals/jmlr/McDonaldSS11,Jaakko Riihimäki
journals/jmlr/McDonaldSS11,Dor Kedem
journals/jmlr/GrunewalderAOS10,Huyen Do
journals/jmlr/GrunewalderAOS10,Suresh K. Bhavnani
journals/jmlr/GrunewalderAOS10,Paul Kidwell
journals/jmlr/CaniniSG09,Ioannis G. Tollis
journals/jmlr/CaniniSG09,Jian Peng 0001
journals/jmlr/CaniniSG09,Sven E. Krüger
journals/jmlr/VinyalsP12,Zakria Hussain
journals/jmlr/VinyalsP12,Alexander Grubb
journals/jmlr/VinyalsP12,Grace Wahba
journals/jmlr/GuanD09,Nan Ding 0002
journals/jmlr/GuanD09,Tao Xiong
journals/jmlr/GuanD09,Zhixiang Eddie Xu
journals/jmlr/Lawrence11,Mauricio A. Álvarez
journals/jmlr/Lawrence11,Hongxia Yang
journals/jmlr/Lawrence11,Vishvas Vasuki
journals/jmlr/GlowackaS10,Jed Irvine
journals/jmlr/GlowackaS10,Suicheng Gu
journals/jmlr/GlowackaS10,Bao-Gang Hu
journals/jmlr/LopezCS12,Harco Kuppens
journals/jmlr/LopezCS12,Ricard Gavaldà
journals/jmlr/LopezCS12,François Coste
journals/jmlr/ZhouS11,Olivier Collier
journals/jmlr/ZhouS11,Mário A. T. Figueiredo
journals/jmlr/ZhouS11,Richard S. Zemel
journals/jmlr/HoSX11,Sanjiv Kumar
journals/jmlr/HoSX11,Olivier Cappé
journals/jmlr/HoSX11,Jaime G. Carbonell
journals/jmlr/XieX11,Chris Lovell
journals/jmlr/XieX11,C.-H. Ho
journals/jmlr/XieX11,Gavin C. Cawley
journals/jmlr/HellersteinKSS12,Alexander Rakhlin
journals/jmlr/HellersteinKSS12,Mesrob I. Ohannessian
journals/jmlr/HellersteinKSS12,Peter L. Bartlett
journals/jmlr/PoczosKS10,Katsuhiko Ishiguro
journals/jmlr/PoczosKS10,Stuart Russell 0001
journals/jmlr/PoczosKS10,Jochen Trumpf
journals/jmlr/FoygelS11,Yusu Wang
journals/jmlr/FoygelS11,Maria-Florina Balcan
journals/jmlr/FoygelS11,Philip M. Long
journals/jmlr/ShahafG09,Arun Rajkumar
journals/jmlr/ShahafG09,Martin Pal
journals/jmlr/ShahafG09,Yann LeCun
journals/jmlr/YuanY11,David S. Rosenberg
journals/jmlr/YuanY11,Anoop Korattikara Balan
journals/jmlr/YuanY11,Salah Rifai
journals/jmlr/GuyonJS10,Nicole Krämer 0002
journals/jmlr/GuyonJS10,David Duvenaud
journals/jmlr/GuyonJS10,Aapo Hyvärinen
journals/jmlr/Shalev-ShwartzS07,Jing Lei 0003
journals/jmlr/Shalev-ShwartzS07,Dimitris Samaras
journals/jmlr/Shalev-ShwartzS07,Shie Mannor
journals/jmlr/BartokPS11,Dmitry Pechyony
journals/jmlr/BartokPS11,Mikhail Belkin
journals/jmlr/BartokPS11,Tim van Erven
journals/jmlr/ShamirS11,Shie Mannor
journals/jmlr/ShamirS11,Satoru Iwata 0001
journals/jmlr/ShamirS11,Abhradeep Thakurta
journals/jmlr/GogateD07,Guy Lever
journals/jmlr/GogateD07,Yasin Abbasi-Yadkori
journals/jmlr/GogateD07,Firas Hamze
journals/jmlr/PletscherOB09,Mikko Koivisto
journals/jmlr/PletscherOB09,Judea Pearl
journals/jmlr/PletscherOB09,Debasis Sengupta
journals/jmlr/CoronaG10,Marsel Scheer
journals/jmlr/CoronaG10,Hardy Kremer
journals/jmlr/CoronaG10,Alfons Juan
journals/jmlr/RajkumarA12,Francis R. Bach
journals/jmlr/RajkumarA12,Fares Hedayati
journals/jmlr/RajkumarA12,Ravi Sastry Ganti Mahapatruni
journals/jmlr/Unold12,Amaury Habrard
journals/jmlr/Unold12,Laurent Miclet
journals/jmlr/Unold12,Jean-Christophe Janodet
journals/jmlr/ZawadzkiGP11,A. Robert Calderbank
journals/jmlr/ZawadzkiGP11,Kevin Swersky
journals/jmlr/ZawadzkiGP11,Moustapha Cissé
journals/jmlr/PriceFS10,Wiebke Werft
journals/jmlr/PriceFS10,Giovanni Puglisi
journals/jmlr/PriceFS10,Rafael Morales Bueno
journals/jmlr/ChanK10,David J. Eis
journals/jmlr/ChanK10,Balaji Krishnapuram
journals/jmlr/ChanK10,Vishvas Vasuki
journals/jmlr/ItaniOSND10,Frederick Eberhardt
journals/jmlr/ItaniOSND10,Jianxin Yin
journals/jmlr/ItaniOSND10,Changzhang Wang
journals/jmlr/JancsaryM11,Genevera I. Allen
journals/jmlr/JancsaryM11,Constantine Caramanis
journals/jmlr/JancsaryM11,Jaakko Luttinen
journals/jmlr/RudelsonZ12,Adityanand Guntuboyina
journals/jmlr/RudelsonZ12,Satoru Iwata 0001
journals/jmlr/RudelsonZ12,Peter Grünwald
journals/jmlr/SeegerST07,Christopher K. I. Williams
journals/jmlr/SeegerST07,Bernardino Romera-Paredes
journals/jmlr/SeegerST07,James Bergstra
journals/jmlr/YuanD07,Gavin Brown 0001
journals/jmlr/YuanD07,Richard Scheines
journals/jmlr/YuanD07,Vikash K. Mansinghka
journals/jmlr/NiuDSS11,Andriy Mnih
journals/jmlr/NiuDSS11,Oriol Vinyals
journals/jmlr/NiuDSS11,Yu Xin
journals/jmlr/HauptCN09,Mehryar Mohri
journals/jmlr/HauptCN09,Edwin V. Bonilla
journals/jmlr/HauptCN09,Yung-Kyun Noh
journals/jmlr/LuxburgWG12,David Warde-Farley
journals/jmlr/LuxburgWG12,Antonio Torralba 0001
journals/jmlr/LuxburgWG12,Tian-Hsiang Huang
