author_list,affiliation,organization_type
Ratan K. Guha,Company 6,Company
Naoki Fukuta,University 10,University
Takayuki Ito 0001,Company 26,Company
Gabriella Pasi,Company 12,Company
Yue Xu 0001,University 8,University
Jeffrey Soar,University 11,University
Jianming Yong,Company 5,Company
Omar Ali,University 2,University
Xiaohui Tao,University 30,University
Munindar P. Singh,University 12,University
Pinar Yolum,Company 19,Company
Javed I. Khan,University 21,University
Qingping Tao,University 12,University
Roberto A. Silva,University 25,University
Sebastián A. Ríos,University 8,University
Haiyang Lv,Company 16,Company
Xiuling Fan,University 26,University
Makoto Iguchi,University 5,University
Shigeki Goto,University 11,University
Guo Li 0002,Company 1,Company
Mohammed El Habib Souidi,Company 25,Company
Songhao Piao,University 10,University
Hans-Joachim Mosler,University 22,University
Cheng Wan 0002,University 30,University
Hongbing Wang,University 8,University
Jie Zhang 0002,University 28,University
Robin Cohen,University 24,University
Shizhi Shao,University 10,University
Daiki Shinkai,University 15,University
Shogo Nishida,Company 1,Company
Tetsuya Yoshida,Company 7,Company
Hatem Ahriz,University 22,University
Inés Arana,Company 14,Company
Muhammed Basharu,Company 24,Company
Ali El Attar,Company 6,Company
Antoine Pigeau,Company 17,Company
Marc Gelgon,Company 7,Company
Arnaud Doniec,University 14,University
René Mandiau,University 22,University
Stéphane Espié,Company 11,Company
Sylvain Piechowiak,Company 12,Company
Zhao-Long Wang,Company 7,Company
Li Liu 0001,University 21,University
Lian Li 0003,University 8,University
Ning Yang,Company 17,Company
Yande Li,Company 19,Company
Yi Yang 0017,Company 23,Company
Feng Wang 0009,Company 2,Company
Li Chen 0009,University 21,University
Darko Kirovski,University 28,University
Renan G. Cattelan,Company 25,Company
Alexander V. Sosnitsky,University 13,University
Matteo Riganelli,University 9,University
Osvaldo Gervasi,Company 12,Company
Sergio Tasso,Company 2,Company
Valentina Franzoni,University 18,University
Charlotte Gerritsen,Company 2,Company
Jan Treur,University 21,University
Mark Hoogendoorn,University 30,University
S. Waqar Jaffry,Company 27,Company
Tibor Bosse,University 23,University
C. J. Scogings,University 19,University
Kenneth A. Hawick,University 26,University
Atsushi Iwasaki,University 30,University
Makoto Yokoo,University 4,University
Yuko Sakurai,University 22,University
Ying Li,Company 3,Company
Hyunja Lee,University 26,University
Junho Shim,Company 16,Company
Fenghui Ren,University 20,University
John Fulcher,Company 20,Company
Minjie Zhang,University 20,University
Fedja Hadzic,Company 18,Company
Henry Tan,Company 18,Company
Tharam S. Dillon,University 24,University
Jan Treur,Company 23,Company
Peter-Paul van Maanen,Company 1,Company
Rianne van Lambalgen,Company 14,Company
Tibor Bosse,Company 3,Company
Elena Paslaru Bontas Simperl,University 27,University
Lyndon J. B. Nixon,Company 24,Company
Robert Tolksdorf,University 19,University
Daniel Wehr,University 5,University
Jörg Denzinger,University 3,University
Sanjeev Paskaradevan,Company 11,Company
Eddie Soulier,University 17,University
Florie Bugeaud,University 6,University
Lingmei Kong,University 24,University
Gauthier Picard,University 5,University
Olivier Boissier,University 6,University
Philippe Jaillon,Company 20,Company
Reda Yaich,University 6,University
Laurent Vercouter,University 16,University
Pierre Maret,Company 7,Company
Rajendra Akerkar,Company 7,Company
Jianmin Ji,University 6,University
Jiongkun Xie,Company 30,Company
Xiaoping Chen,Company 14,Company
Hansheng Lei,University 21,University
Venu Govindaraju,Company 28,Company
Jianwei Zhang 0002,University 26,University
Lin Li,University 27,University
Wei Duan,Company 2,Company
Xuetao Mao,University 30,University
Rajendra Prasath,University 24,University
Sudeshna Sarkar,University 28,University
Vijai Kumar,University 29,University
Hao Lan Zhang,University 24,University
Hoong Chuin Lau,Company 16,Company
Kuniaki Uehara,Company 1,Company
Shohei Yoshikawa,Company 12,Company
Takahiko Kamiryo,Company 9,Company
Yoshiaki Yasumura,Company 14,Company
Bhagyashri Devi,University 21,University
M. Mary Synthuja Jain Preetha,University 6,University
Francesca D'Errico,Company 2,Company
Isabella Poggi,Company 9,Company
Christine Bourjot,Company 1,Company
Vincent Chevrier,Company 22,Company
Vincent Thomas,University 23,University
Babak Esfandiari,Company 27,Company
Jan-Philipp Steghöfer,University 10,University
Gaurav Singh 0002,University 26,University
René Weiskircher,University 23,University
Antonino Nocera,Company 7,Company
Domenico Ursino,University 1,University
Anita Raja,University 23,University
Shanjun Cheng,University 6,University
Victor R. Lesser,University 26,University
Jiali Chen,University 19,University
Mengjia Lian,Company 17,Company
Tao Zan,University 29,University
Xiaojie Chen,University 16,University
Alessandro Ansani,Company 21,Company
Francesca D'Errico,University 5,University
Isabella Poggi,University 30,University
Péter Schönhofen,Company 25,Company
Hui Zhang,Company 6,Company
Xiao-Ling Jiang,Company 19,Company
Lin Tang,Company 29,Company
Keke Cai,University 15,University
Li Zhang 0007,University 15,University
W. Scott Spangler,University 2,University
Ying Chen 0001,University 2,University
Masoud Makrehchi,University 30,University
Hongxun Jiang,Company 9,Company
Mengjun Zhu,Company 12,Company
Xiaotong Wang,University 26,University
Carlos Castillo 0001,University 18,University
Ilija Subasic,Company 10,Company
Kiam Tian Seow,University 30,University
Manh Tung Pham,Company 19,Company
Francesco Bonchi,Company 3,Company
Francesco Gullo,Company 16,Company
Giovanni Stilo,Company 3,Company
Ilaria Bordino,Company 11,Company
Magnus Hjelmblom,Company 24,Company
Kim Hammar,University 5,University
Mihhail Matskin,University 22,University
Nima Dokoohaki,University 29,University
Shatha Jaradat,Company 13,Company
Alessandro Ricci,University 10,University
Davide Ancona,Company 25,Company
Matteo Barbieri,University 13,University
Rafael H. Bordini,University 11,University
Viviana Mascardi,Company 11,Company
Giacomo Cabri,Company 18,Company
Letizia Leonardi,Company 4,Company
Mariachiara Puviani,University 19,University
Raffaele Quitadamo,Company 7,Company
Anas Malas,Company 14,Company
Mohamad El Falou,University 27,University
Mohammad Hussein,University 21,University
Salah El Falou,Company 29,Company
Andrea Gorrini,Company 7,Company
Giuseppe Vizzari,Company 4,Company
Luca Crociani,University 11,University
Stefania Bandini,University 27,University
Jun Hong 0001,University 11,University
Weiru Liu,University 14,University
Zhining Liao,Company 6,Company
Jan Treur,Company 11,Company
Peter-Paul van Maanen,University 24,University
Tibor Bosse,University 9,University
Jan Treur,Company 10,Company
Michel C. A. Klein,Company 21,Company
Rianne van Lambalgen,University 20,University
Huizhi Liang,University 26,University
Yue Xu 0001,University 26,University
Yuefeng Li,University 24,University
Daniel Crabtree,Company 23,Company
Peter Andreae,Company 9,Company
Xiaoying Gao,University 13,University
Danni Wang,Company 18,Company
Li Liu 0001,Company 18,Company
Lin Zhou,Company 16,Company
Hongjiang Zheng,Company 26,Company
Huixian Wang,University 13,University
Susumu Tamagawa,University 30,University
Takahira Yamaguchi,Company 30,Company
Takeshi Morita 0001,University 13,University
Yuka Sekimoto,University 25,University
Chaoyi Pang,Company 11,Company
Hao Lan Zhang,University 7,University
Vinita Nahar,Company 9,Company
Xue Li 0001,University 26,University
Peng Zhang 0001,Company 25,Company
Xingquan Zhu 0001,University 22,University
Yong Shi 0001,Company 2,Company
Zhiwang Zhang,Company 28,Company
Janusz Marecki,University 27,University
Makoto Tasaki,University 19,University
Makoto Yokoo,Company 23,Company
Milind Tambe,University 28,University
Pradeep Varakantham,Company 17,Company
Yuichi Yabu,Company 25,Company
Yuki Iwanari,Company 26,Company
Dragan Milosevic,Company 6,Company
Sahin Albayrak,University 9,University
John D. King,Company 8,Company
Richi Nayak,Company 21,Company
Xiaohui Tao,Company 18,Company
Yuefeng Li,University 1,University
Davide Balzarotti,Company 15,Company
Gian Pietro Picco,University 8,University
Paolo Costa,University 6,University
Weiwei Wu,Company 6,Company
Bodo Vogt,University 12,University
Klemens Böhm,Company 28,Company
Stephan Schosser,Company 19,Company
Nallamothu Nagamalleswara Rao,University 29,University
Pamarthi NagaRaju,Company 14,Company
Emerson Cabrera Paraiso,University 29,University
Jean-Paul A. Barthès,University 1,University
Y. Xiao,Company 16,Company
Z. X. Hou,Company 14,Company
Eugenio Di Sciascio,Company 6,Company
Floriano Scioscia,University 12,University
Michele Ruta,Company 25,Company
Orland Hoeber,Company 19,Company
Xue Dong Yang,Company 29,Company
Yiyu Yao,Company 28,Company
Christophe Gravier,University 21,University
Frédérique Laforest,University 11,University
Julien Subercaze,University 14,University
Christian Richthammer,University 7,University
Günther Pernul,Company 18,Company
Michael Weber 0010,University 12,University
Chong Shen 0002,Company 7,Company
Hanwen Li,Company 20,Company
Kun Zhang 0011,University 17,University
Qian Gao,University 27,University
Hao Wang,Company 13,Company
Axel Korthaus,Company 3,Company
Markus Aleksy,University 11,University
Martin Schader,Company 23,Company
Ronny Siebes,University 7,University
Spyros Kotoulas,University 1,University
Eduardo Rodrigues Gomes,Company 20,Company
Ryszard Kowalczyk,Company 28,Company
Adam Jatowt,Company 5,Company
Mitsuru Ishizuka,University 30,University
Wei Yang,University 15,University
Yinghua Feng,University 9,University
Ayush Singhal,Company 5,Company
Jaideep Srivastava,University 9,University
David X. Wang,University 24,University
Peter Andreae,University 8,University
Xiaoying Gao,Company 22,Company
Bin Li,Company 7,Company
Bo Liu,Company 30,Company
Hongli Zhang 0001,University 3,University
Mingzeng Hu,University 5,University
Zhihong Tian,Company 23,Company
Alfredo Cuzzocrea,University 12,University
Tiejun Chen,University 23,University
Ali Mohammad Zareh Bidoki,Company 29,Company
Nasser Yazdani,Company 2,Company
Pedram Ghodsnia,Company 2,Company
Bastin Tony Roy Savarimuthu,Company 19,Company
Martin K. Purvis,Company 30,Company
Maryam Purvis,Company 1,Company
Stephen Cranefield,Company 4,Company
Andreas Dengel 0001,Company 2,Company
Seyed Ali Bahrainian,University 15,University
Hoong Chuin Lau,University 11,University
Lucas Agussurja,Company 10,Company
Adeem Ali Anwar,Company 12,Company
Asuka Terai,University 16,University
Hiroya Miura,Company 29,Company
Keiji Hirata 0001,Company 14,Company
Yoshinari Takegawa,Company 29,Company
João Rocha,Company 11,Company
Nuno Silva 0001,University 28,University
Nenad Stojanovic,Company 16,Company
Avshalom Elmalech,Company 11,Company
David Sarne,Company 16,Company
Xianghong Li,University 11,University
Jun Ma,University 8,University
Madhu Goyal,Company 8,Company
Esmaeel Rezaee,Company 19,Company
S. Alireza Hashemi Golpayegani,Company 5,Company
Athanasios N. Nikolakopoulos,University 19,University
John D. Garofalakis,University 10,University
Filippo Sorbello,Company 27,Company
Giorgio Vassallo,University 10,University
Giovanni Pilato,Company 19,Company
Salvatore Vitabile,University 29,University
Vincenzo Conti,University 21,University
Christian Guttmann,University 12,University
Iyad Rahwan,Company 12,Company
Michael P. Georgeff,Company 3,Company
Domenico Rosaci,Company 11,Company
Domenico Ursino,University 2,University
Salvatore Garruzzo,University 1,University
Stefano Modafferi,Company 29,Company
Beihong Jin,University 9,University
Jun Wei 0001,Company 18,Company
Yinglong Ma,University 18,University
Yulin Feng,Company 8,Company
Haofen Wang,University 1,University
Linyun Fu,University 2,University
Yong Yu 0001,University 14,University
Ahmed Hadj Kacem,Company 19,Company
Amira Regayeg,University 2,University
Mohamed Jmaiel,University 8,University
Flavien Balbo,University 22,University
Neïla Bhouri,University 29,University
Suzanne Pinson,University 7,University
Chengtao Li,Company 30,Company
Tianyong Hao,University 23,University
Wanqing Liang,Company 25,Company
Yingying Qu,Company 30,Company
Marco Turchi,Company 15,Company
Nello Cristianini,Company 9,Company
Tijl De Bie,Company 10,Company
Christos-Nikolaos Anagnostopoulos,Company 22,Company
Ioannis Anagnostopoulos,University 13,University
Tiejun Huang 0001,Company 11,Company
Wen Gao 0001,University 9,University
Yonghong Tian 0001,University 28,University
Francisco Coelho,Company 19,Company
Helder Coelho,Company 15,Company
Jasmine Hamdan,University 24,University
Jörg Denzinger,University 17,University
Huadong Liang,University 11,University
Lin Li 0001,University 13,University
Xin Li 0064,University 9,University
Akash Anil,Company 21,Company
Ranjan Sarmah,Company 10,Company
Sanasam Ranbir Singh,University 17,University
Hirokazu Taki,University 21,University
Jun'ichi Toyoda,University 1,University
Noriyuki Matsuda,Company 16,Company
Toyohiro Nomoto,Company 10,Company
Tsukasa Hirashima,University 27,University
Cory J. Butz,Company 25,Company
R. Brien Maguire,Company 21,Company
Shan Hua,Company 11,Company
Henry Hexmoor,Company 11,Company
Rachil Chandran,University 9,University
Shahram Rahimi,University 14,University
Miroslav Snorek,Company 18,Company
Mofreh Hogo,Company 5,Company
Pawan Lingras,Company 15,Company
Dong Xu,Company 28,Company
Ville Könönen,Company 9,Company
Nicholas R. Jennings,Company 20,Company
Yoseba K. Penya,Company 30,Company
Eugénio C. Oliveira,Company 23,Company
Henrique Lopes Cardoso,University 7,University
Barry E. Mullins,University 28,University
Daniel R. Karrels,Company 18,Company
Gilbert L. Peterson,University 18,University
Li Weigang 0001,Company 7,Company
Vinícius Guilherme Fracari Branco,University 14,University
Keivan Kianmehr,University 11,University
Mehmet Kaya,University 25,University
Reda Alhajj,Company 9,Company
Tansel Özyer,Company 14,Company
Laurent Vercouter,Company 15,Company
Yann Krupa,University 24,University
Alejandro Hernández-García,Company 4,Company
Fernando Díaz-de-María,University 9,University
Fernando Fernández Martínez,University 24,University
Rubén San Segundo,Company 28,Company
Álvaro García-Faura,Company 3,Company
Ayesh Alshukri,Company 15,Company
Frans Coenen,Company 18,Company
Zhicheng Jia,University 8,University
Jin Zhou,Company 5,Company
Wei Wei,Company 21,Company
Yu Cao,Company 21,Company
Norimichi Ukita,University 23,University
Maria Soledad Pera,University 29,University
Yiu-Kai Ng,Company 15,Company
Li Qiao,University 15,University
Basit Shafiq,University 1,University
Jaideep Vaidya,Company 26,Company
Nabil R. Adam,Company 20,Company
Vijayalakshmi Atluri,Company 25,Company
Xiaoyun He,University 8,University
Bo Yang 0002,Company 12,Company
Dayou Liu,University 27,University
Fanhua Yu,University 30,University
Jiguang Li,Company 20,Company
Yanbin Liu,Company 10,Company
Zhongyi Zhang,University 15,University
Girish P. Bhole,Company 18,Company
Kapil Netaji Vhatkar,University 7,University
John Mylopoulos,Company 2,Company
Lin Liu 0001,Company 6,Company
Loris Penserini,Company 3,Company
Luca Spalazzi,Company 30,Company
Maurizio Panti,University 21,University
Haibing Lu,University 8,University
Jaideep Vaidya,Company 21,Company
Wen Ming Liu,Company 22,Company
Yuan Hong,Company 7,Company
Chi-Yuen Ng,University 20,University
David Wai-Lok Cheung,University 3,University
Eric Lo 0001,University 19,University
Thomas Lee,Company 24,Company
Jiajin Huang,Company 24,Company
Jin Qin,Company 3,Company
Jin Yi,Company 30,Company
Alberto Díaz 0001,University 19,University
Pablo Gervás,University 6,University
C. A. Murthy,Company 25,Company
Sankar K. Pal,University 5,University
Suman Saha 0003,Company 22,Company
Li Qian,University 27,University
Mourad Atlas,Company 26,Company
Yan-Qing Zhang,Company 19,Company
Boualem Benatallah,University 2,University
Quan Z. Sheng,Company 4,Company
Zakaria Maamar,Company 12,Company
Hana Alostad,Company 11,Company
Hasan Davulcu,Company 15,Company
Xiaocong Fan,Company 5,Company
Li Li,Company 15,Company
Li Liu 0001,Company 19,Company
Xiangliang Zhang 0001,University 24,University
Zili Zhang 0001,University 20,University
Leen-Kiat Soh,University 17,University
Xin Li,University 2,University
Ismail Badache,Company 27,Company
Kang Zhang 0001,University 19,University
Mao Lin Huang,Company 1,Company
Meikang Qiu,Company 11,Company
Jingyi Li,Company 12,Company
Annabelle Mercier,University 18,University
Jean-Paul Jamont,University 22,University
Michel Occello,University 7,University
David Sarne,University 14,University
Gil Zussman,Company 15,Company
Igor Rochlin,Company 18,Company
Ioanna Roussaki,Company 20,Company
Ioannis V. Papaioannou,Company 12,Company
Miltiades E. Anagnostou,Company 21,Company
Gianluca Moro,University 30,University
Josenildo Costa da Silva,Company 19,Company
Matthias Klusch,University 5,University
Stefano Lodi,Company 29,Company
Catholijn M. Jonker,University 16,University
Dmytro Tykhonov,University 25,University
Koen V. Hindriks,Company 10,Company
Ling Chen 0005,University 19,University
Ping He 0001,Company 26,Company
Xiao-hua Xu,University 13,University
Guilin Qi,University 14,University
Songmao Zhang,Company 26,Company
Weizhuo Li,Company 16,Company
Alessandro Ricci,University 16,University
Andrea Omicini,Company 10,Company
Mirko Viroli,University 24,University
Loris Penserini,University 18,University
Luca Spalazzi,University 23,University
Manuel Kolp,Company 1,Company
Mikhail Bautin,University 28,University
Steven Skiena,Company 6,Company
Amitava Datta,University 5,University
Kwan Hui Lim 0001,Company 12,Company
Kensuke Fukuda,University 17,University
Osamu Akashi,Company 7,Company
Satoshi Kurihara,Company 21,Company
Shin-ya Sato,Company 19,Company
Toshiharu Sugawara,Company 6,Company
Toshio Hirotsu,University 16,University
Lipika Dey,University 16,University
Muhammad Abulaish,Company 28,Company
Cees Witteveen,University 29,University
Mathijs de Weerdt,Company 6,Company
Roman van der Krogt,University 1,University
Enxing Zhou,Company 10,Company
Fang Zheng,Company 18,Company
Ka Ching Chan,Company 23,Company
Raj Gururajan,University 23,University
Xiong Zhou,Company 1,Company
Xujuan Zhou,University 2,University
Zhangguang Wu,Company 4,Company
Antonella Chirichiello,University 19,University
Gwen Salaün,University 12,University
Chenxu Zhao,Company 10,Company
Zhanlei Shang,Company 25,Company
Helmut Prendinger,Company 20,Company
Mitsuru Ishizuka,University 7,University
Shaikh Mostafa Al Masum,University 26,University
Hideaki Kimoto,Company 1,Company
Hiroaki Ueda,Company 29,Company
Kenichi Takahashi,Company 14,Company
Naoki Hanada,Company 21,Company
Takeshi Naraki,University 18,University
Tetsuhiro Miyahara,Company 25,Company
Alina Strachocka,Company 11,Company
Barbara Dunin-Keplicz,University 22,University
Jidong Sha,University 1,University
Rongna Geng,University 21,University
Yuanyuan Li,Company 6,Company
Katarzyna A. Tarnowska,University 18,University
Zbigniew W. Ras,University 28,University
Eric T. Matson,Company 12,Company
Raj Bhatnagar,University 10,University
Scott A. DeLoach,Company 22,Company
Guangxu Yu,Company 6,Company
Aspassia Daskalopulu,University 24,University
Georgios K. Giannikis,University 16,University
Aloys Mbala,University 6,University
James Harland,Company 3,Company
Lin Padgham,University 28,University
Min Xu,University 10,University
William Kwok-Wai Cheung,Company 26,Company
Yuxiang Sun,Company 21,Company
Ahmad Abdel-Hafez,Company 23,Company
Audun Jøsang,Company 2,Company
Yue Xu 0001,University 29,University
Bin Chen,University 7,University
Chizhong Wu,University 17,University
Hai Tan,University 13,University
Jiajin Huang,Company 5,Company
Li Yu,University 8,University
Manyu Li,University 28,University
Weiyi Luo,University 3,University
Zhijiang Wan,Company 14,Company
Huiliang Zhang,University 29,University
Shell-Ying Huang,University 2,University
Hiromi Nakagawa,Company 8,Company
Yusuke Iwasawa,University 15,University
Yutaka Matsuo,University 13,University
Gillian Dobbie,Company 10,Company
Patricia Riddle,University 11,University
Shafiq Alam,Company 27,Company
Yun Sing Koh,University 13,University
Chao Gong,Company 5,Company
Hongyi Zhang,Company 11,Company
Rong Xie,Company 6,Company
Koichi Moriyama,Company 28,Company
Eren Gultepe,University 6,University
Masoud Makrehchi,University 23,University
Mehran Kamkarhaghighi,Company 28,Company
Catherine Sotirakou,University 3,University
Constantinos Mourlas,Company 30,Company
Damian Trilling,Company 5,Company
Dimitrios Alexandros Sinis,University 2,University
Panagiotis Germanakos,Company 2,Company
Axel-Cyrille Ngonga Ngomo,Company 7,Company
Claus Stadler,University 19,University
Daniel Gerber,University 28,University
Saeedeh Shekarpour,University 17,University
Sebastian Hellmann,University 2,University
Sören Auer,University 17,University
Cheng-Te Li,Company 20,Company
Chieh-Jen Huang,University 17,University
Man-Kwan Shan,Company 30,Company
Noriko Kando,Company 21,Company
Shuhei Yamamoto,University 16,University
Tetsuji Satoh,Company 4,Company
Raymond Y. K. Lau,Company 19,Company
Rong Xie,Company 3,Company
Wen Chen,Company 7,Company
Zetao Ye,Company 10,Company
Zhiwei Luo,University 5,University
Giuseppe Vizzari,Company 27,Company
Sara Manzoni,Company 14,Company
Stefania Bandini,Company 1,Company
Jian Zhang,Company 13,Company
Kunxia Wang,University 19,University
Lifei Chen,University 16,University
ZongBao Zhu,University 16,University
Quoc Bao Vo,University 24,University
Alessandro Cucchiarelli,Company 19,Company
Fulvio D'Antonio,University 19,University
Paola Velardi,University 18,University
Audun Jøsang,University 3,University
Elizabeth Gray,University 12,University
Michael Kinateder,University 17,University
Alain Léger,Company 15,Company
Alexandre Delteil,Company 25,Company
Freddy Lécué,University 12,University
Krys J. Kochut,Company 28,Company
Mehdi Allahyari,University 26,University
Seyedamin Pouriyeh,Company 24,Company
Doug Foxvog,Company 28,Company
Manfred Hauswirth,Company 30,Company
Tomas Vitvar,Company 22,Company
Xia Wang,University 21,University
Bin Dai,University 22,University
Guido Boella,University 29,University
Leendert W. N. van der Torre,University 30,University
Luigi Sauro,University 19,University
Golnaz Vakili,University 29,University
Karl Aberer,University 3,University
Thanasis G. Papaioannou,University 11,University
Andrew Gargett,Company 15,Company
John A. Barnden,Company 5,Company
Fei Hu 0004,Company 24,Company
Jinjing Zhang,University 28,University
Li Li 0006,Company 3,Company
Xiaofei Xu,Company 29,Company
Frank Kaufer,University 1,University
Matthias Klusch,University 2,University
Chunnian Liu,University 3,University
Junzhong Ji,Company 25,Company
Lisa Jing Yan,Company 4,Company
Ning Zhong 0001,Company 1,Company
M. Howard Williams,Company 12,Company
Yuping Yang,University 14,University
Alexei Sharpanskykh,University 18,University
Jan Treur,Company 1,Company
James Zijun Wang,Company 7,Company
Matti A. Vanninen,University 9,University
Alexandr Chernov,University 21,University
Matthias Gallé,Company 2,Company
Nikolaos Lagos,University 6,University
Ágnes Sándor,University 22,University
Li Li,Company 16,Company
Li Liu 0001,Company 8,Company
Xiangliang Zhang 0001,University 16,University
Zili Zhang 0001,Company 30,Company
Eleni Stroulia,University 15,University
Renée Elio,University 28,University
Warren Blanchet,Company 25,Company
Ho-fung Leung,University 26,University
Jianye Hao,University 22,University
Abdulmohsen Algarni,Company 17,Company
Sheng-Tang Wu,University 24,University
Yue Xu 0001,University 23,University
Yuefeng Li,Company 6,Company
Dajiang He,University 24,University
Jun Shu,Company 5,Company
Wei Shu,Company 14,Company
Anna Bou Ezzeddine,University 20,University
Martin Kovacik,Company 24,Company
Pavol Návrat,Company 3,Company
Viera Rozinajová,University 21,University
Bing Zhou 0002,Company 4,Company
Franklin Leung,Company 21,Company
Chongguang Ren,University 19,University
Rong Chen,Company 26,Company
Gang Li 0009,Company 15,Company
Wanlei Zhou 0001,University 30,University
Yongli Ren,Company 24,Company
Eugenio Di Sciascio,Company 23,Company
Francesco M. Donini,Company 29,Company
Michele Ruta,University 25,University
Tommaso Di Noia,Company 1,Company
Sio-Fan Lou,Company 19,Company
Yain-Whar Si,Company 1,Company
Ghada Hassan,University 23,University
Mohamed Roushdy,Company 28,Company
Sarah Elsharkawy,University 1,University
Tarek Nabhan,University 9,University
Hassina Seridi-Bouchelaghem,University 3,University
Khaled Halimi,University 13,University
Fei Liu 0003,Company 9,Company
Sheng Uei Guan,University 30,University
Torunn Vølstad,Company 18,Company
Haoran Xie 0001,University 23,University
Kin Keung Lai,University 12,University
Wenhao Chen 0001,Company 24,Company
Yi Cai 0001,Company 18,Company
Anita Raja,Company 9,Company
Jiang Xie 0001,Company 6,Company
Shanjun Cheng,University 19,University
Prashant Doshi,University 29,University
Yifeng Zeng,University 9,University
Alexandre L. Gonçalves,University 15,University
Dawei Song 0001,Company 28,Company
Enrico Motta,University 1,University
Jianhan Zhu,Company 18,Company
Marc Eisenstadt,University 17,University
Roberto Carlos dos Santos Pacheco,University 23,University
Victoria S. Uren,Company 27,Company
Frances M. T. Brazier,Company 22,Company
Martijn Warnier,University 15,University
Altynbek Sharipbay,University 8,University
Banu Zh. Yergesh,University 26,University
Gulmira Bekmanova,University 27,University
Catherine Faron-Zucker,University 15,University
Fabien Gandon,University 16,University
Zide Meng,Company 13,Company
Carlos Montez,University 14,University
Luciana Rech,Company 26,Company
Rômulo Silva de Oliveira,University 16,University
Laurent Mazuel,University 28,University
Nicolas Sabouret,University 25,University
Giuseppe Primiero,Company 23,Company
Jaap Boender,Company 16,Company
