article:ID,author:string[],crossref:string,editor:string[],ee:string[],journal:string,key:string,number:string,pages:string,title:string,volume:string,year:int,doi,volume_key,corresponding_author,keywords
28699,Anna Krizanova|Jana Kliestikova|Maria Misankova|Tatiana Corejova|Tomas Kliestik,Sci. Eng. Ethics20186,,https://doi.org/10.1007/s11948-017-9988-x|https://www.wikidata.org/entity/Q43925679,Sci. Eng. Ethics,journals/see/KliestikovaKMCK18,6,1747-1753,Aspects of Morality and Law Enforcement in Today's Science in Post-Soviet Countries.,24,2018,https://doi.org/10.1007/s11948-017-9988-x|https://www.wikidata.org/entity/Q43925679,Sci. Eng. Ethics20186,Anna Krizanova,aspects|morality|countries|todays|enforcement|law|science|postsoviet
28700,Seumas Miller,Sci. Eng. Ethics20196,,https://doi.org/10.1007/s11948-019-00147-7|https://www.wikidata.org/entity/Q92224924,Sci. Eng. Ethics,journals/see/Miller19,6,1679-1698,Whither the University? Universities of Technology and the Problem of Institutional Purpose.,25,2019,https://doi.org/10.1007/s11948-019-00147-7|https://www.wikidata.org/entity/Q92224924,Sci. Eng. Ethics20196,Seumas Miller,problem|whither|purpose|universities|university|institutional|technology
28701,Reena Cheruvalath,Sci. Eng. Ethics20192,,https://doi.org/10.1007/s11948-017-0009-x|https://www.wikidata.org/entity/Q47270751,Sci. Eng. Ethics,journals/see/Cheruvalath19,2,583-596,Does Studying 'Ethics' Improve Engineering Students' Meta-Moral Cognitive Skills?,25,2019,https://doi.org/10.1007/s11948-017-0009-x|https://www.wikidata.org/entity/Q47270751,Sci. Eng. Ethics20192,Reena Cheruvalath,skills|engineering|cognitive|ethics|studying|improve|students|metamoral
28702,Wha-Chul Son,Sci. Eng. Ethics20083,,https://doi.org/10.1007/s11948-008-9066-5|https://www.wikidata.org/entity/Q30368960,Sci. Eng. Ethics,journals/see/Son08,3,405-415,Philosophy of Technology and Macro-ethics in Engineering.,14,2008,https://doi.org/10.1007/s11948-008-9066-5|https://www.wikidata.org/entity/Q30368960,Sci. Eng. Ethics20083,Wha-Chul Son,macroethics|engineering|technology|philosophy
28703,Cathal D. O'Connell|Frédéric Gilbert 0003|Susan Dodds|Tajanka Mladenovska,Sci. Eng. Ethics20181,,https://doi.org/10.1007/s11948-017-9874-6|https://www.wikidata.org/entity/Q42696042,Sci. Eng. Ethics,journals/see/GilbertOMD18,1,73-91,Print Me an Organ? Ethical and Regulatory Issues Emerging from 3D Bioprinting in Medicine.,24,2018,https://doi.org/10.1007/s11948-017-9874-6|https://www.wikidata.org/entity/Q42696042,Sci. Eng. Ethics20181,Cathal D. O'Connell,issues|medicine|ethical|print|bioprinting|emerging|3d|organ|regulatory
28704,David M. Shaw|Peter Morfeld|Thomas C. Erren,Sci. Eng. Ethics20165,,https://doi.org/10.1007/s11948-015-9701-x|https://www.wikidata.org/entity/Q41367526,Sci. Eng. Ethics,journals/see/ErrenSM16,5,1431-1446,Analyzing the Publish-or-Perish Paradigm with Game Theory: The Prisoner's Dilemma and a Possible Escape.,22,2016,https://doi.org/10.1007/s11948-015-9701-x|https://www.wikidata.org/entity/Q41367526,Sci. Eng. Ethics20165,David M. Shaw,publishorperish|escape|possible|analyzing|theory|dilemma|paradigm|game|prisoners
28705,Guido Nicolosi|Guido Ruivenkamp,Sci. Eng. Ethics20133,,https://doi.org/10.1007/s11948-012-9405-4|https://www.wikidata.org/entity/Q30422774,Sci. Eng. Ethics,journals/see/NicolosiR13,3,1181-1200,Re-skilling the Social Practices: Open Source and Life-Towards a Commons-Based Peer Production in Agro-biotechnology?,19,2013,https://doi.org/10.1007/s11948-012-9405-4|https://www.wikidata.org/entity/Q30422774,Sci. Eng. Ethics20133,Guido Nicolosi,open|agrobiotechnology|source|commonsbased|lifetowards|production|practices|reskilling|peer|social
28706,Lars Lindblom|Per Wikman-Svahn,Sci. Eng. Ethics20193,,https://doi.org/10.1007/s11948-018-0036-2|https://www.wikidata.org/entity/Q58657916,Sci. Eng. Ethics,journals/see/Wikman-SvahnL19,3,655-670,Toward a Responsibility-Catering Prioritarian Ethical Theory of Risk.,25,2019,https://doi.org/10.1007/s11948-018-0036-2|https://www.wikidata.org/entity/Q58657916,Sci. Eng. Ethics20193,Lars Lindblom,prioritarian|responsibilitycatering|risk|ethical|toward|theory
28707,Patrick L. Taylor,Sci. Eng. Ethics20093,,https://doi.org/10.1007/s11948-009-9123-8|https://www.wikidata.org/entity/Q53108324,Sci. Eng. Ethics,journals/see/Taylor09,3,395-406,"Scientific Self-Regulation - So Good, How Can it Fail?",15,2009,https://doi.org/10.1007/s11948-009-9123-8|https://www.wikidata.org/entity/Q53108324,Sci. Eng. Ethics20093,Patrick L. Taylor,good|fail|scientific|selfregulation
28708,Ioanna Semendeferi|Ioannis T. Pavlidis|Malcolm Dcosta|Panagiotis Tsiamyrtzis,Sci. Eng. Ethics20161,,https://doi.org/10.1007/s11948-015-9626-4|https://www.wikidata.org/entity/Q47436915,Sci. Eng. Ethics,journals/see/SemendeferiTDP16,1,251-274,Connecting Past with Present: A Mixed-Methods Science Ethics Course and its Evaluation.,22,2016,https://doi.org/10.1007/s11948-015-9626-4|https://www.wikidata.org/entity/Q47436915,Sci. Eng. Ethics20161,Ioanna Semendeferi,connecting|present|ethics|mixedmethods|past|evaluation|course|science
28709,Maarten C. A. van der Sanden|Patricia Osseweijer|Steven M. Flipse,Sci. Eng. Ethics20133,,https://doi.org/10.1007/s11948-012-9423-2|https://www.wikidata.org/entity/Q45768637,Sci. Eng. Ethics,journals/see/FlipseSO13,3,703-725,The Why and How of Enabling the Integration of Social and Ethical Aspects in Research and Development.,19,2013,https://doi.org/10.1007/s11948-012-9423-2|https://www.wikidata.org/entity/Q45768637,Sci. Eng. Ethics20133,Maarten C. A. van der Sanden,ethical|aspects|integration|research|development|enabling|social
28710,Vance W. Berger,Sci. Eng. Ethics20154,,https://doi.org/10.1007/s11948-014-9576-2|https://www.wikidata.org/entity/Q24289463,Sci. Eng. Ethics,journals/see/Berger15,4,857-874,"Conflicts of Interest, Selective Inertia, and Research Malpractice in Randomized Clinical Trials: An Unholy Trinity.",21,2015,https://doi.org/10.1007/s11948-014-9576-2|https://www.wikidata.org/entity/Q24289463,Sci. Eng. Ethics20154,Vance W. Berger,trinity|interest|malpractice|clinical|trials|research|randomized|conflicts|inertia|selective|unholy
28711,Sven Ove Hansson,Sci. Eng. Ethics20111,,https://doi.org/10.1007/s11948-009-9186-6|https://www.wikidata.org/entity/Q39925740,Sci. Eng. Ethics,journals/see/Hansson11,1,21-29,Do we Need a Special Ethics for Research?,17,2011,https://doi.org/10.1007/s11948-009-9186-6|https://www.wikidata.org/entity/Q39925740,Sci. Eng. Ethics20111,Sven Ove Hansson,special|ethics|need|research
28712,Dan Perry|Gad Perry|Howard J. Curzer|Mark C. Wallace,Sci. Eng. Ethics20162,,https://doi.org/10.1007/s11948-015-9659-8|https://www.wikidata.org/entity/Q30375120,Sci. Eng. Ethics,journals/see/CurzerPWP16,2,549-565,The Three Rs of Animal Research: What they Mean for the Institutional Animal Care and Use Committee and Why.,22,2016,https://doi.org/10.1007/s11948-015-9659-8|https://www.wikidata.org/entity/Q30375120,Sci. Eng. Ethics20162,Dan Perry,committee|animal|mean|research|rs|institutional|use|three|care
28713,Jukka Varelius,Sci. Eng. Ethics20081,,https://doi.org/10.1007/s11948-007-9033-6|https://www.wikidata.org/entity/Q50910502,Sci. Eng. Ethics,journals/see/Varelius08,1,65-76,Ethics Consultation and Autonomy.,14,2008,https://doi.org/10.1007/s11948-007-9033-6|https://www.wikidata.org/entity/Q50910502,Sci. Eng. Ethics20081,Jukka Varelius,ethics|autonomy|consultation
28714,David B. Resnik|Kathy Partin|Taraswi Banerjee,Sci. Eng. Ethics20224,,https://doi.org/10.1007/s11948-022-00386-1,Sci. Eng. Ethics,journals/see/BanerjeePR22,4,31,Authorship Issues When Articles are Retracted Due to Research Misconduct and Then Resubmitted.,28,2022,https://doi.org/10.1007/s11948-022-00386-1,Sci. Eng. Ethics20224,David B. Resnik,authorship|issues|resubmitted|due|misconduct|retracted|research|articles
28715,Andrea Owe|Mark Coeckelbergh|Seth D. Baum,Sci. Eng. Ethics20225,,https://doi.org/10.1007/s11948-022-00388-z,Sci. Eng. Ethics,journals/see/OweBC22,5,38,Nonhuman Value: A Survey of the Intrinsic Valuation of Natural and Artificial Nonhuman Entities.,28,2022,https://doi.org/10.1007/s11948-022-00388-z,Sci. Eng. Ethics20225,Andrea Owe,survey|valuation|natural|entities|nonhuman|intrinsic|value|artificial
28716,Søren Holm|Thomas Ploug,Sci. Eng. Ethics20144,,https://doi.org/10.1007/s11948-013-9492-x|https://www.wikidata.org/entity/Q57303007,Sci. Eng. Ethics,journals/see/PlougH14,4,1097-1110,Agreeing in Ignorance: Mapping the Routinisation of Consent in ICT-Services.,20,2014,https://doi.org/10.1007/s11948-013-9492-x|https://www.wikidata.org/entity/Q57303007,Sci. Eng. Ethics20144,Søren Holm,routinisation|mapping|ignorance|ictservices|consent|agreeing
28717,Emel Aközer|Mehmet Aközer,Sci. Eng. Ethics20166,,https://doi.org/10.1007/s11948-015-9731-4|https://www.wikidata.org/entity/Q58659024,Sci. Eng. Ethics,journals/see/AkozerA16,6,1627-1647,Basing Science Ethics on Respect for Human Dignity.,22,2016,https://doi.org/10.1007/s11948-015-9731-4|https://www.wikidata.org/entity/Q58659024,Sci. Eng. Ethics20166,Emel Aközer,ethics|respect|human|dignity|basing|science
28718,Morten P. Oksvold,Sci. Eng. Ethics20162,,https://doi.org/10.1007/s11948-015-9668-7|https://www.wikidata.org/entity/Q30969930,Sci. Eng. Ethics,journals/see/Oksvold16,2,487-496,Incidence of Data Duplications in a Randomly Selected Pool of Life Science Publications.,22,2016,https://doi.org/10.1007/s11948-015-9668-7|https://www.wikidata.org/entity/Q30969930,Sci. Eng. Ethics20162,Morten P. Oksvold,selected|randomly|incidence|life|publications|data|pool|duplications|science
28719,Alexander Hevelke|Julian Nida-Rümelin,Sci. Eng. Ethics20153,,https://doi.org/10.1007/s11948-014-9565-5|https://www.wikidata.org/entity/Q40636825,Sci. Eng. Ethics,journals/see/HevelkeN15,3,619-630,Responsibility for Crashes of Autonomous Vehicles: An Ethical Analysis.,21,2015,https://doi.org/10.1007/s11948-014-9565-5|https://www.wikidata.org/entity/Q40636825,Sci. Eng. Ethics20153,Alexander Hevelke,ethical|vehicles|crashes|responsibility|analysis|autonomous
28720,Ana Mlinaric|Jelena Omazic|Martina Horvat|Vesna Supak-Smolcic,Sci. Eng. Ethics20164,,https://doi.org/10.1007/s11948-015-9689-2|https://www.wikidata.org/entity/Q47998475,Sci. Eng. Ethics,journals/see/HorvatMOS16,4,1095-1106,An Analysis of Medical Laboratory Technology Journals' Instructions for Authors.,22,2016,https://doi.org/10.1007/s11948-015-9689-2|https://www.wikidata.org/entity/Q47998475,Sci. Eng. Ethics20164,Ana Mlinaric,laboratory|instructions|journals|authors|technology|analysis|medical
28721,Ellen-Marie Forsberg|Fern Wickson,Sci. Eng. Ethics20155,,https://doi.org/10.1007/s11948-014-9602-4|https://www.wikidata.org/entity/Q48061755,Sci. Eng. Ethics,journals/see/WicksonF15,5,1159-1180,Standardising Responsibility? The Significance of Interstitial Spaces.,21,2015,https://doi.org/10.1007/s11948-014-9602-4|https://www.wikidata.org/entity/Q48061755,Sci. Eng. Ethics20155,Ellen-Marie Forsberg,standardising|significance|spaces|interstitial|responsibility
28722,Adèle Paul-Hus|Bryn Williams-Jones|Cassidy R. Sugimoto|David B. Resnik|Elise Smith|Min Shi|Vincent Larivière|Zubin Master,Sci. Eng. Ethics20204,,https://doi.org/10.1007/s11948-019-00112-4|https://www.wikidata.org/entity/Q92506302,Sci. Eng. Ethics,journals/see/SmithWMLSPSR20,4,1967-1993,Misconduct and Misbehavior Related to Authorship Disagreements in Collaborative Science.,26,2020,https://doi.org/10.1007/s11948-019-00112-4|https://www.wikidata.org/entity/Q92506302,Sci. Eng. Ethics20204,Adèle Paul-Hus,misbehavior|authorship|disagreements|related|misconduct|collaborative|science
28723,Michael Davis 0002,Sci. Eng. Ethics20195,,https://doi.org/10.1007/s11948-019-00124-0|https://www.wikidata.org/entity/Q92329543,Sci. Eng. Ethics,journals/see/Davis19,5,1609-1624,Temporal Limits on What Engineers Can Plan.,25,2019,https://doi.org/10.1007/s11948-019-00124-0|https://www.wikidata.org/entity/Q92329543,Sci. Eng. Ethics20195,Michael Davis 0002,temporal|plan|engineers|limits
